Timestamp,Person_ID,Activity_State,In_ROI
2026-05-13 12:08:45,3010,Working,True
2026-05-13 12:08:48,3042,Working,True
2026-05-13 12:08:48,3010,Working,True
2026-05-13 12:08:49,3042,Working,True
2026-05-13 12:08:49,3010,Working,True
2026-05-13 12:08:52,3042,Working,True
2026-05-13 12:08:52,3010,Working,True
2026-05-13 12:08:54,3042,Working,True
2026-05-13 12:08:54,3010,Working,True
2026-05-13 12:08:56,3042,Working,True
2026-05-13 12:08:56,3010,Working,True
2026-05-13 12:08:56,3176,Working,True
